"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genSYMBOL","ENTREZID","GENENAME"
"ENSG00000211647",13.059648303682,7.1967891356471,1.20145683299303,5.9900521916536,2.09773707582264e-09,1.36889141287322e-07,"IGLV5-48",NA,"IGLV5-48"
"ENSG00000253701",71.9244938848935,7.17578864742881,1.06271720677753,6.75230306017904,1.45516514901106e-11,1.85737279619772e-09,"AL928768.3",NA,"AL928768.3"
"ENSG00000211611",259.934588639644,7.1430040639668,1.23393723189348,5.78879045006678,7.08950749142994e-09,3.92753791756127e-07,"IGKV6-21",NA,"IGKV6-21"
"ENSG00000248302",11.5412279208601,7.09264882619035,1.08249366848389,6.55213885557787,5.6718763569977e-11,6.11451265377692e-09,"BNIP3P41",NA,"BNIP3P41"
"ENSG00000211648",2362.94947154308,7.07931665657455,0.902826187371825,7.84128413153678,4.45962060145675e-15,2.8461298678497e-12,"IGLV1-47",NA,"IGLV1-47"
"ENSG00000100721",418.901205634409,7.04621668701322,1.17061187128824,6.01925955121142,1.75216721774214e-09,1.17215211568452e-07,"TCL1A",8115,"TCL1A"
"ENSG00000260303",21.5198908268927,7.02740559612673,1.63413623203971,4.30037928193735,1.7050603358509e-05,0.000383158276880297,"RP11-203B7.2",NA,"RP11-203B7.2"
"ENSG00000211973",3955.30850760641,7.02336321460522,0.891181499024479,7.88095715888768,3.24882692693322e-15,2.35613789178271e-12,"IGHV1-69",NA,"IGHV1-69"
"ENSG00000253709",14.7774518841421,6.98014112390703,1.10924385998658,6.29270206101612,3.11986809273433e-10,2.75013786848488e-08,"IGHV1-14",NA,"IGHV1-14"
"ENSG00000211653",4283.1746177118,6.91961218412844,0.888435874037153,7.78853306844189,6.77916306605849e-15,3.79514199013906e-12,"IGLV1-40",NA,"IGLV1-40"
"ENSG00000255760",96.1988995387875,6.91955418964146,1.11100637363749,6.22818586268456,4.71867082161439e-10,3.93188983943693e-08,"RP11-428G5.5",NA,"RP11-428G5.5"
