"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genSYMBOL","ENTREZID","GENENAME"
2.76093666578235,2.23728605105609,0.898335032124382,2.49048069044503,0.0127570427622809,0.0690434065618649,"TUBB8P11",NA,"TUBB8P11"
52.3398275837924,1.54764144121386,0.323132647651639,4.78949265096337,1.67203521410345e-06,5.95902247465583e-05,"PERM1",84808,"PERM1"
196.292195650886,1.64664371701704,0.365966263529208,4.49944129040087,6.81322925895342e-06,0.000193457586386222,"TAS1R3",83756,"TAS1R3"
5401.78280567775,-0.345832008281088,0.108657058290417,-3.18278456754049,0.00145866100645286,0.0139021308464143,"DVL1",102466740,"DVL1"
409.905283832095,1.29886646161389,0.32735553400239,3.96775470917931,7.25529520470622e-05,0.00131865304699747,"ANKRD65",441869,"ANKRD65"
670.43157648879,-0.323267622753572,0.138944445833449,-2.326596222069,0.0199867658095659,0.0946138488014975,"PEX10",5192,"PEX10"
97.9513984604816,0.840366949653902,0.251584439537869,3.34029779901157,0.00083688597490311,0.00909473908684861,"RP3-395M20.12",NA,"RP3-395M20.12"
845.423258752648,1.23327798561427,0.300923855013331,4.09830581746216,4.16185176328672e-05,0.000848658736182487,"RP3-395M20.8",NA,"RP3-395M20.8"
5541.57674087159,0.707979401119624,0.214663739012103,3.29808566820736,0.000973464293339018,0.0102257629825505,"TNFRSF14",8764,"TNFRSF14"
13.4785574775143,2.16371234066608,0.472625407137243,4.57807030259331,4.69284986434671e-06,0.000141148900174199,"RP3-395M20.7",NA,"RP3-395M20.7"
33.657770542478,2.47638756965805,0.398409667437765,6.21568142556401,5.11023901159315e-10,8.83328896940863e-08,"RP3-395M20.9",NA,"RP3-395M20.9"
3228.96409254224,-0.829574987058241,0.197755865604268,-4.19494503752579,2.72937762862524e-05,0.000603860404881706,"PRDM16",63976,"PRDM16"
1820.86425526492,-0.604749868840039,0.16271042358172,-3.71672481410701,0.000201822058755088,0.00302216200418372,"ARHGEF16",27237,"ARHGEF16"
124.019973689769,1.36224047526517,0.342473448218057,3.97765281470175,6.95988933416148e-05,0.00127750920853007,"TP73",7161,"TP73"
674.232522379763,0.751521709256751,0.186802314422406,4.02308564313275,5.7440597138421e-05,0.00109523553125568,"DFFB",1677,"DFFB"
2459.23497228291,-0.416420666668029,0.162787240211561,-2.55806699669361,0.01052558115686,0.0602301398282965,"NPHP4",261734,"NPHP4"
2336.4633950834,1.91218595994025,0.413798441710314,4.62105645453083,3.81790855695608e-06,0.000118925961495441,"KCNAB2",8514,"KCNAB2"
936.002957136773,1.60050282026424,0.316134476929454,5.06272784863448,4.13299652546894e-07,1.90937156663404e-05,"TNFRSF25",8718,"TNFRSF25"
12.3643642618408,4.77768204477139,0.934029794030861,5.11512809902243,3.13528107195292e-07,1.53750592646692e-05,"UTS2",10911,"UTS2"
7842.93773045851,-0.434290949541891,0.153051442261464,-2.83754888634094,0.00454613844362309,0.0324175116896704,"PARK7",11315,"PARK7"
2480.98655578587,-0.578019993222418,0.203142059223931,-2.84539792217645,0.00443559736190684,0.0318385417757132,"SPSB1",80176,"SPSB1"
574.770305771249,-0.67258735211315,0.172288323687223,-3.903847560408,9.46754260355211e-05,0.0016410928807182,"SLC25A33",84275,"SLC25A33"
2606.79151935918,2.02332927408822,0.351861022218748,5.75036490637584,8.90510356804378e-09,8.19191413316448e-07,"PIK3CD",5293,"PIK3CD"
5.21693733950153,3.8206724299304,0.792371453833673,4.82181988188131,1.42254370053408e-06,5.24898022262874e-05,"PIK3CD-AS1",644997,"PIK3CD-AS1"
4190.67355360229,-0.330063737551845,0.118829951693807,-2.77761400090721,0.00547596270516878,0.0370891846431248,"KIF1B",23095,"KIF1B"
11.7392600082525,2.18143008055706,0.611373195705349,3.56808263083944,0.000359603108251782,0.00473169108687132,"DRAXIN",374946,"DRAXIN"
10500.5740314015,-0.607602840179241,0.174931829843585,-3.47336925888518,0.000513967700601276,0.00625236689662842,"VPS13D",55187,"VPS13D"
48.6341500917005,1.6537217826019,0.359866046065562,4.59538153344042,4.31958153386536e-06,0.000132068371853195,"AGMAT",79814,"AGMAT"
161.729812423991,1.0813592944641,0.392626479344019,2.75416802318271,0.00588415511116659,0.0391377175375078,"PADI2",11240,"PADI2"
42.0693188581476,1.53622059145981,0.474819499384356,3.2353780614563,0.00121481761800507,0.0121309825600807,"PADI4",23569,"PADI4"
133.041713576971,1.00348473588748,0.339093503823609,2.95931571844408,0.0030832304454303,0.0242625095156785,"RP5-1056L3.3",NA,"RP5-1056L3.3"
146.014959543529,6.84854709374388,1.37796085239865,4.97005925953735,6.69324418218838e-07,2.78539887851625e-05,"PLA2G2D",26279,"PLA2G2D"
5208.60569233692,-0.576487390368786,0.125726888090004,-4.58523549836132,4.53475018696582e-06,0.000137590396990157,"PINK1",102464833,"PINK1"
12727.1739663142,-0.575499424755283,0.162137280913535,-3.5494577281223,0.000386025437637779,0.00498552803510763,"ECE1",1889,"ECE1"
42.731754568916,1.13291491500049,0.329580332060351,3.43744697360472,0.000587225686115865,0.00692347101273861,"RP5-1071N3.1",100506801,"RP5-1071N3.1"
34386.0738067466,-1.23362981793741,0.279963769032804,-4.40639094908334,1.05107186161682e-05,0.00027694951288381,"RAP1GAP",5909,"RAP1GAP"
24858.8420592627,-0.579537771163555,0.171142712439256,-3.38628366293569,0.000708461109917036,0.00798598888538154,"HSPG2",3339,"HSPG2"
25.601239288931,1.2749833062859,0.352385502140074,3.61814915353439,0.000296717388869443,0.0040746511441386,"RP1-224A6.9",NA,"RP1-224A6.9"
