"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genSYMBOL","ENTREZID","GENENAME"
899.044150322298,5.95816641904795,0.880757802255994,6.76481820971277,1.33476687770677e-11,4.07700007179929e-09,"FCRL3",115352,"FCRL3"
726.714500543193,7.51080421195647,1.06032412810726,7.08349835004101,1.40560067455792e-12,7.62441427970117e-10,"FCRL2",79368,"FCRL2"
971.658177885823,7.65430727006191,1.01952238246902,7.50773833088897,6.01575977459831e-14,8.82354436103357e-11,"FCRL1",115350,"FCRL1"
281.007818880693,5.5591791993058,0.826142152527766,6.72908310306677,1.70735526978577e-11,5.02010319090937e-09,"AIM2",9447,"AIM2"
134.973795352845,7.43206306191085,0.9534651350066,7.79479268726423,6.45143093045147e-15,1.84516789548122e-11,"RGS13",6003,"RGS13"
1038.43574725233,7.42558152055317,1.01835464968555,7.2917441117847,3.05967884824915e-13,2.6739043401324e-10,"CR2",1380,"CR2"
767.62698837073,4.69213476780473,0.658582252769199,7.12459946813825,1.04383784948632e-12,6.31541972744021e-10,"ANKRD36BP2",645784,"ANKRD36BP2"
17.4215705266081,6.6668299070121,1.07929288242085,6.17703499726451,6.5316598767349e-10,1.02235100190028e-07,"AC096579.15",NA,"AC096579.15"
146.628199813964,3.50049196841981,0.578087634034519,6.05529639855743,1.40159348320142e-09,1.89235973794654e-07,"BUB1",699,"BUB1"
33.1164926392388,7.67760582530623,1.238260841044,6.20031383600332,5.63506794158409e-10,9.28193049791504e-08,"AC079767.4",NA,"AC079767.4"
84.5063880688846,4.03360258107413,0.616002789973793,6.54802648092834,5.83023832543305e-11,1.40019181646144e-08,"WNT10A",80326,"WNT10A"
74.0963311230147,-1.94394776902921,0.802487192015068,-2.42240348303616,0.015418220865926,0.0786051931069354,"PTPRN",5798,"PTPRN"
635.857850209424,4.33356291455577,0.616693358599845,7.0270951585968,2.10877557206397e-12,1.02067981958007e-09,"SP140",11262,"SP140"
194.193733964414,6.833432428191,0.991992691691234,6.8885915041781,5.63474850600634e-12,2.13584123792127e-09,"LINC01215",101929623,"LINC01215"
577.884389981884,4.69274077832165,0.668882656206758,7.01579078897671,2.28651979245417e-12,1.0736746147821e-09,"TIGIT",201633,"TIGIT"
1427.40776846296,4.09247012948666,0.592098545871749,6.91180574250745,4.78522852780023e-12,1.90567183181168e-09,"KLHL6",89857,"KLHL6"
118.002861456773,5.16819044795939,0.627297290131878,8.23882157513046,1.73915071639917e-16,1.09430841377268e-12,"CLNK",116449,"CLNK"
190.211461658154,4.18308600938922,0.603200161789101,6.93482242607847,4.06731734636167e-12,1.6823062748667e-09,"DTHD1",401124,"DTHD1"
475.523996739171,6.88909884544975,0.869521615022616,7.92286094609686,2.32107101703121e-15,8.11369058520209e-12,"TLR10",81793,"TLR10"
211.830769814121,4.87130098610356,0.712915737133482,6.8329267154212,8.31994650039297e-12,2.90837596498737e-09,"TMEM156",80008,"TMEM156"
186.307184806227,6.82391695791927,0.843651428482547,8.08855023240257,6.03790855681861e-16,2.71369487294386e-12,"STAP1",26228,"STAP1"
368.529204858929,4.5762966436535,0.643399657109828,7.11268119757845,1.13809966835372e-12,6.75580257850496e-10,"DAPP1",27071,"DAPP1"
23.045096565479,5.37005316961503,0.878390033012826,6.11351787678654,9.74584477663085e-10,1.41950936350733e-07,NA,NA,NA
815.29086053641,5.62315771200872,0.718963543828257,7.82120005983496,5.23221131256065e-15,1.6461060010447e-11,"LTB",4050,"LTB"
58.2596928910571,5.82237766748912,0.75098622723569,7.75297529612594,8.97640863115677e-15,2.1723599380371e-11,"COL19A1",1310,"COL19A1"
